Nom de la pièce,Description,Prix (€),Ville de stockage,Référence,Catégorie,Modèles compatibles,Nombre en stock,Niveau de priorité d'achat,Complexité d'installation
Filtre à air,Filtre à air pour moteur essence,25,Lyon,AF123B,Filtration,"Renault Clio, Peugeot",15,3,2
Plaquettes de frein,Kit de plaquettes de frein avant,60,Marseille,BF245C,Freinage,"VW Golf, Audi A3",10,5,3
Batterie 12V,Batterie de voiture standard 12V,110,Bordeaux,BA987Z,Électrique,"Ford Focus, Opel Corsa",5,8,4
Bougies d'allumage,Bougies d'allumage haute performance,35,Nantes,SG567A,Allumage,"BMW Série 3, Audi A4",20,2,2
Amortisseur avant,Amortisseur pour suspension avant,95,Paris,AM890D,Suspension,"Toyota Yaris, Honda",8,4,5
Alternateur,Alternateur 120A pour moteur essence,200,Toulouse,AT678F,Électrique,"Peugeot 208, Citroën C3",3,7,6
Radiateur,Radiateur pour moteur diesel,150,Nice,RD345G,Refroidissement,"Fiat Punto, VW Polo",6,6,4
Pompe à eau,Pompe à eau pour système de refroidissement,75,Lille,PW234T,Refroidissement,"Audi A6, Mercedes C220",9,3,5
Courroie de distribution,Courroie de distribution renforcée,50,Strasbourg,CD111L,Transmission,"Renault Megane, Fiat",12,5,6
Filtre à huile,Filtre à huile pour moteur diesel,15,Grenoble,FO789K,Filtration,"Nissan Qashqai, Dacia",18,2,3
