Id,Nom,Image,Catégorie,Description,Cuisson,Préparation,Portions unité,Difficulté,Portions,Régime,Coût,Instructions,Ingrédients,Audio
0,"Salade de riz complet, feta et olives",https://zyllio.github.io/zyllio-samples/recipies/recipies/images/0.jpg,Entrées,"Une salade légère et rafraîchissante, parfaite pour un déjeuner d'été ou comme accompagnement lors d'un barbecue.",40,5,personnes,1,4,Riz,2,"Utiliser le menu riz du Thermochef spécifique pour le riz complet. Comme le riz complet a besoin d'un temps de cuisson plus long, si il dépasse les 20 minutes de cuisson sur le paquet, utiliser le mode légumes sec, pression 7, puissance 2 en divisant le temps de cuisson par 3.
Ajouter 200g de riz complet et 400ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Une fois le riz cuit, le transférer dans un grand bol et laisser refroidir à température ambiante. Vous pouvez accélérer le processus en étalant le riz sur une plaque à pâtisserie.
Dans le bol contenant le riz refroidi, ajouter les dés de concombre, les olives noires dénoyautées, et la feta émiettée.
Arroser la salade avec l'huile d'olive et le jus de citron. Assaisonner avec du sel et du poivre selon le goût. Mélanger délicatement pour bien combiner tous les ingrédients sans écraser la feta.
Laisser la salade reposer au réfrigérateur pendant au moins 30 minutes avant de servir pour permettre aux saveurs de se mélanger.","200 g Riz complet
100 g Feta, émiettée
100 g Olives noires, dénoyautées
1 Concombre, coupé en dés
2 cuillère à soupe Huile d'olive
1 Citron, jus
Sel, au goût
Poivre, au goût",https://studio.zyllio.com/api/applications/0768a2a4471b/database-assets/c1c98713febe-utiliser menu soupe partie 3.mp3
1,Salade de riz basmati à l'orientale,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/1.jpg,Plats,"Une salade de riz aux saveurs orientales avec des légumes frais, des pois chiches, de la feta et de la coriandre.",12,20,personnes,2,4,Riz,2,"Préparation du riz : Utiliser le menu riz du Thermochef. Pour le riz basmati, choisir le mode 2 si le temps de cuisson sur le paquet est de 11 à 12 minutes. Ajouter 200g de riz basmati et 300ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Découpage des légumes : Pendant que le riz cuit, couper les tomates et le concombre en dés.
Mélange des ingrédients : Une fois le riz cuit et refroidi, le transférer dans un grand bol. Ajouter les pois chiches, les légumes coupés, et la feta émiettée.
Assaisonnement : Assaisonner avec l'huile d'olive, le sel, et le poivre. Mélanger délicatement.
Finalisation : Garnir de coriandre fraîche hachée. Réfrigérer pendant une heure avant de servir pour permettre aux saveurs de se mélanger.
Pour une texture plus ferme des pois chiches, vous pouvez les placer dans un sachet sous vide et les cuire sous vide dans le Thermochef à 85°C pendant 30 minutes.
Pour une feta plus crémeuse, enveloppez-la également sous vide et faites-la cuire à basse température (sous 60°C) pendant 10 minutes.","200 g Riz basmati
100 g Pois chiches, cuits
1 Concombre
2 Tomates
50 g Coriandre fraîche
50 g Feta
2 cuillère à soupe Huile d'olive
Sel, au goût
Poivre, au goût",
2,Riz rouge aux épinards et aux noix,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/2.jpg,Plats,"Un plat nutritif et savoureux combinant la richesse du riz rouge avec la fraîcheur des épinards et le croquant des noix, relevé d'une touche d'huile d'olive pour une gourmandise harmonieuse.",35,0,personnes,2,4,Riz,3,"Utiliser le menu riz du Thermochef spécifique pour le riz rouge. Si le riz rouge a besoin d'un temps de cuisson plus long que 20 minutes, utiliser le mode légumes sec, pression 7, puissance 2 en divisant le temps de cuisson par 3.
Ajouter 200g de riz rouge et 400ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Une fois le riz cuit, le retirer et réserver.
Chauffer une cuillère à soupe d'huile d'olive en utilisant le mode thermo grill du Thermochef (couvercle ouvert, puissance 3).
Ajouter les épinards et faire sauter jusqu'à ce qu'ils soient flétris, environ 3-5 minutes. Assaisonner avec du sel et du poivre.
Incorporer les noix hachées aux épinards sautés pour ajouter du croquant et une saveur de noisette au plat.
Ajouter le riz cuit aux épinards et aux noix, mélanger le tout avec le reste de l'huile d'olive pour enrober le mélange.
Goûter et ajuster l'assaisonnement avec du sel et du poivre selon le goût.","200 g Riz rouge
200 g Épinards, frais, hachés
50 g Noix, hachées
2 cuillère à soupe Huile d'olive
Sel, au goût
Poivre, au goût",
3,Riz complet à la patate douce et cannelle,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/3.jpg,Plats,"Un plat réconfortant associant la douceur de la patate douce à l'arôme de la cannelle, parfait pour un dîner automnal ou hivernal.",30,0,personnes,2,4,Riz,2,"Cuisson du riz : Utiliser le menu riz du Thermochef spécifique pour le riz complet. Comme le riz complet a besoin d'un temps de cuisson plus long, Si il dépasse les 20 minutes de cuisson sur le paquet utilisé le mode légumes sec, pression 7, puissance 2 en divisant le temps de cuisson par 3.
Ajouter 200g de riz complet et 400ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Préparation de la patate douce : Une fois le riz cuit, le retirer et réserver, mettre le Thermochef en mode thermo grill (couvercle ouvert, puissance 3). Ajouter 1 cuillère à soupe d'huile d'olive et faire sauter les dés de patate douce jusqu'à ce qu'ils soient tendres et légèrement caramélisés, environ 10 minutes. Saupoudrer de cannelle pendant la cuisson pour les enrober de saveur.
Mélanger avec le riz : Prenez le riz cuit, incorporez délicatement les dés de patate douce au riz dans un grand bol.
Assaisonnement : Ajuster l'assaisonnement avec du sel selon le goût. Utiliser la cuillère à soupe d'huile d'olive restante pour arroser le plat, ajoutant une couche supplémentaire de saveur et de richesse.
Servir : Servir chaud, permettant à chaque bouchée de bénéficier de la douceur de la patate douce et de l'arôme réconfortant de la cannelle.","200 g Riz complet
1 Patate douce, coupée en dés
1 cuillère à café Cannelle
2 cuillère à soupe Huile d'olive
400 ml Eau
Sel, au goût",
4,Riz thaï au tofu et brocoli,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/4.jpg,Plats,"Un plat complet, sain et délicieux, parfait pour un repas végétarien ou vegan avec des saveurs umami apportées par la sauce soja et l'huile de sésame.",20,5,personnes,2,4,Riz,2,"Utiliser le menu riz du Thermochef pour cuire le riz thaï. Choisir le mode 3 pour un temps de cuisson adapté. Ajouter 200g de riz thaï et 300ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Une fois le riz cuit, le retirer et réserver.
Mettre le Thermochef en mode thermo grill (couvercle ouvert, puissance 3). Ajouter l'huile de sésame et faire sauter les dés de tofu jusqu'à ce qu'ils soient dorés sur toutes les faces, environ 5-7 minutes.
Ajouter ensuite les bouquets de brocoli et continuer à faire sauter jusqu'à ce que le brocoli soit tendre mais encore croquant, environ 5 minutes supplémentaires.
Verser la sauce soja sur le mélange de tofu et brocoli. Bien mélanger pour enrober les ingrédients de sauce. Laisser cuire encore 2-3 minutes pour que les saveurs se mélangent.
Servir le mélange de tofu et de brocoli sur le riz. Mélanger légèrement pour combiner ou servir le mélange à côté du riz selon les préférences.
Ajuster l'assaisonnement avec du sel et du poivre selon le goût.","200 g Riz thaï
200 g Tofu, coupé en dés
200 g Brocoli, en petits bouquets
2 cuillère à soupe Sauce soja
1 cuillère à soupe Huile de sésame
Sel, au goût
Poivre, au goût",
5,Riz complet aux légumes grillés,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/5.jpg,Plats,Plat sain et coloré associant le riz complet à des légumes grillés pour un repas nutritif et savoureux.,35,0,personnes,2,4,Riz,3,"Cuisson du riz : Utiliser le menu riz du Thermochef spécifique pour le riz complet. Si le riz complet a besoin d'un temps de cuisson plus long que 20 minutes indiqué sur le paquet, utiliser le mode légumes sec, pression 7, puissance 2 en divisant le temps de cuisson par 3.
Ajouter 200g de riz complet et 400ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Grillage des légumes : Une fois le riz cuit, le retirer et réserver. Préparer les légumes pour le grill. Enduire légèrement les courgettes, les poivrons et les aubergines avec 1 cuillère à soupe d'huile d'olive. Utiliser le mode thermo grill du Thermochef (couvercle ouvert, puissance 3) pour griller les légumes jusqu'à ce qu'ils soient tendres et marqués, environ 5-7 minutes de chaque côté.
Assemblage : Prendre le riz cuit et les légumes grillés, mélanger le riz et les légumes dans un grand bol. Ajouter la cuillère à soupe d'huile d'olive restante et mélanger délicatement pour combiner.
Assaisonnement : Assaisonner le plat avec du sel et du poivre selon le goût.","200 g Riz complet
1 Courgette, coupée en rondelles
1 Poivron rouge, coupé en lanières
1 Aubergine, coupée en rondelles
2 cuillère à soupe Huile d'olive
Sel, au goût
Poivre, au goût",
6,Riz complet aux pois chiches et aux épices,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/6.jpg,Plats,"Un plat nutritif et savoureux, parfait pour un repas équilibré et riche en protéines, avec des épices qui ajoutent une profondeur de goût.",25,5,personnes,2,4,Riz,2,"Cuisson du riz : Utiliser le menu riz du Thermochef spécifique pour le riz complet. Comme le riz complet a besoin d'un temps de cuisson plus long, si le temps de cuisson dépasse les 20 minutes sur le paquet, utiliser le mode légumes sec, pression 7, puissance 2 en divisant le temps de cuisson par 3.
Ajouter 200g de riz complet et 400ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Préparation des pois chiches : Une fois le riz cuit, le retirer et réserver au chaud, mettre le Thermochef en mode thermo grill (couvercle ouvert, puissance 3). Ajouter l'huile d'olive et les pois chiches cuits. Saupoudrer de cumin, de coriandre moulue, et de paprika. Faire revenir les pois chiches avec les épices pendant environ 5-7 minutes, jusqu'à ce qu'ils soient bien enrobés et légèrement croustillants.
Mélange avec le riz : Prenez le riz cuit, l'incorporer aux pois chiches épicés dans la cuve du Thermochef. Mélanger délicatement pour bien combiner tous les ingrédients.
Assaisonnement : Goûter et ajuster l'assaisonnement avec du sel et du poivre selon le goût.","200 g Riz complet
400 g Pois chiches, cuits
1 cuillère à café Cumin
1 cuillère à café Coriandre moulue
1 cuillère à café Paprika
2 cuillère à soupe Huile d'olive
Sel, au goût
Poivre, au goût",
7,Riz basmati à la courgette et au yaourt,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/7.jpg,Plats,"Un plat léger et rafraîchissant mêlant la douceur des courgettes avec l'onctuosité du yaourt, idéal pour un repas d'été ou comme accompagnement.",25,15,personnes,2,4,Riz,2,"Cuisson du riz : Utiliser le menu riz du Thermochef pour cuire le riz basmati. Choisir le mode 2 pour un temps de cuisson moyen. Ajouter 200g de riz basmati et 300ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Préparation des courgettes : Une fois le riz cuit, le retirer et réserver au chaud, mettre le Thermochef en mode thermo grill (couvercle ouvert, puissance 3). Ajouter 1 cuillère à soupe d'huile d'olive et faire sauter les rondelles de courgette avec l'ail émincé jusqu'à ce qu'elles soient tendres et légèrement dorées, environ 5-7 minutes.
Mélanger avec le yaourt : Transférer les courgettes cuites dans un bol et laisser refroidir légèrement. Ajouter le yaourt nature et mélanger délicatement. Assaisonner avec du sel et du poivre selon le goût.
Assemblage : Prenez le riz cuit, l'étaler dans un plat de service. Répartir le mélange de courgettes et de yaourt sur le riz. Mélanger légèrement avant de servir pour que le riz s'imprègne des saveurs du yaourt et des courgettes.","200 g Riz basmati
2 Courgettes, coupées en rondelles
200 g Yaourt nature
1 Gousse d'ail, émincée
2 cuillère à soupe Huile d'olive
Sel, au goût
Poivre, au goût",
8,Riz thaï aux noix de cajou et poulet,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/8.jpg,Plats,"Un plat complet aux saveurs riches et satisfaisantes comprenant du riz thaï, du poulet et des noix de cajou, le tout rehaussé par la sauce soja.",25,0,personnes,2,4,Riz,3,"Cuisson du riz : Utiliser le menu riz du Thermochef pour cuire le riz thaï. Choisir le mode 3 pour un temps de cuisson adapté. Ajouter 200g de riz thaï et 300ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Préparation du poulet : Une fois le riz cuit, le retirer et réserver au chaud, mettre le Thermochef en mode thermo grill (couvercle ouvert, puissance 3). Ajouter l'huile et faire sauter les dés de poulet jusqu'à ce qu'ils soient bien cuits et dorés, environ 5-7 minutes.
Ajouter des noix de cajou : Incorporer les noix de cajou grillées au poulet et mélanger. Verser la sauce soja et continuer à faire sauter le tout pendant encore 2-3 minutes, jusqu'à ce que le mélange soit bien enrobé de sauce.
Assemblage : Prenez le riz cuit, servir le poulet et les noix de cajou sur le riz. Bien mélanger pour que le riz s'imprègne des saveurs du poulet et de la sauce soja.
Assaisonnement : Ajuster l'assaisonnement avec du sel et du poivre selon le goût.","200 g Riz thaï
200 g Poulet, en dés
100 g Noix de cajou, grillées
2 cuillère à soupe Sauce soja
1 cuillère à soupe Huile
Sel, au goût
Poivre, au goût",
9,Riz noir à la betterave et chèvre,https://zyllio.github.io/zyllio-samples/recipies/recipies/images/9.jpg,Plats,"Un plat principal visuellement impressionnant et riche en saveurs, mariant la douceur de la betterave, la richesse du fromage de chèvre et la texture unique du riz noir.",25,0,personnes,3,4,Riz,4,"Cuisson du riz : Utiliser le menu riz du Thermochef spécifique pour le riz noir. Comme le riz noir a besoin d'un temps de cuisson plus long, Si il dépasse les 20 minutes de cuisson sur le paquet utilisé le mode légumes sec, pression7, puissance 2 en divisant le temps de cuisson par 3.
Ajouter 200g de riz noir et 400ml d'eau dans la cuve du Thermochef. Fermer le couvercle et démarrer la cuisson.
Préparation des betteraves : Une fois le riz cuit, le retirer et réserver, mettre le Thermochef en mode thermo grill (couvercle ouvert, puissance 3). Ajouter 1 cuillère à soupe d'huile d'olive et faire sauter légèrement les dés de betterave pour les réchauffer et les rendre un peu plus tendres, environ 5 minutes.
Mélanger avec le riz : Prenez le riz cuit, incorporez délicatement les dés de betterave au riz. Le riz noir prendra une belle couleur pourpre grâce au jus des betteraves.
Ajout du fromage de chèvre : Émietté le fromage de chèvre sur le riz chaud et les betteraves. Le fromage commence à fondre légèrement, ajoutant une texture crémeuse et un goût riche au plat.
Assaisonnement : Assaisonner le plat avec du sel et du poivre selon le goût.","200 g Riz noir
2 Betteraves cuites, coupées en dés
100 g Fromage de chèvre, émietté
2 cuillère à soupe Huile d'olive
Sel, au goût
Poivre, au goût",
