Nom,Description,Image,Catégorie,Prix,Évaluation nutritionnelle,Niveau de stock,Devise,Identifiant Prix
Pommes,"Pommes fraîches et juteuses, texture croquante et goût sucré-acidulé. Idéales pour grignoter, cuisiner ou faire du jus maison. Qualité premium garantie.",https://zyllio.github.io/zyllio-samples/products/images/apples.webp,Fruit,2,5,6,EUR,6546411
Bananes,"Bananes fraîches et sucrées à la texture onctueuse. Parfaites pour les collations, pâtisseries ou smoothies. Fruit mûri naturellement de qualité supérieure.",https://zyllio.github.io/zyllio-samples/products/images/bananas.webp,Fruit,6.5,5,3,EUR,5465415
Poires,"Poires juteuses et sucrées à la texture douce. Idéales à croquer, cuire ou ajouter aux salades. Fruit de qualité, cueilli à la main.",https://zyllio.github.io/zyllio-samples/products/images/pears.webp,Fruit,8,5,2,EUR,5547996
Tomates,"Tomates mûres et savoureuses avec une texture ferme. Idéales pour salades, sauces ou grignotages. Mûries sur pied, qualité supérieure.",https://zyllio.github.io/zyllio-samples/products/images/tomatoes.webp,Fruit,2.5,6,5,EUR,4456588
Ananas,"Ananas frais et sucrés avec une chair dorée juteuse. Parfaits pour desserts, smoothies ou à déguster nature. Qualité premium garantie.",https://zyllio.github.io/zyllio-samples/products/images/pineapple.webp,Fruit,5.5,6,4,EUR,7789877
Oranges,"Oranges juteuses et sucrées à la couleur vive et à la saveur d'agrumes rafraîchissante. Idéales à croquer, à presser ou pour rehausser vos recettes. Fruit de qualité, mûri au soleil.",https://zyllio.github.io/zyllio-samples/products/images/oranges.webp,Fruit,4.2,8,7,EUR,4565411
Carottes,"Carottes croquantes et sucrées à la couleur orange vive. Idéales à croquer, cuisiner ou presser. Fraîcheur et qualité de la ferme.",https://zyllio.github.io/zyllio-samples/products/images/carrots.webp,Légume,1.3,9,5,EUR,6854887
Radis,"Radis rouges vifs avec feuilles vertes fraîches, joliment disposés en bottes sur un étal rustique éclairé naturellement.",https://zyllio.github.io/zyllio-samples/products/images/radishes.webp,Légume,0.5,7,3,EUR,6854554
Courgettes,"Petites courgettes vert foncé, fraîchement récoltées, à la texture lisse et légèrement nervurée.",https://zyllio.github.io/zyllio-samples/products/images/zucchinis.webp,Légume,0.8,6,2,EUR,6854474
Pommes de terre,"Pommes de terre brun doré avec une texture rustique, naturellement disposées dans des caisses en bois sur un marché.",https://zyllio.github.io/zyllio-samples/products/images/potatoes.webp,Légume,1.2,7,8,EUR,6154471
Laitue,"Têtes de laitue fraîches et vert vif, croquantes, joliment disposées dans des caisses en bois sur un marché baigné de lumière naturelle.",https://zyllio.github.io/zyllio-samples/products/images/lettuce.webp,Légume,0.2,10,1,EUR,0144411
